timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-12-13,272.0,330.0,260.0,290.01,9565.16019,1513209599999.0,2770877.002767,4709.0,3930.49388,1146169.971193,262481.48144625
2017-12-14,290.01,302.72,252.0,272.4,9631.98382,1513295999999.0,2666481.1499211,5753.0,4291.36257,1196920.2245486,263769.31208121
2017-12-15,272.4,314.21,239.99,294.0,16579.78235,1513382399999.0,4658823.650816,7826.0,9339.39791,2638328.9636574,256847.74005722
2017-12-16,294.0,305.0,285.0,293.97,9102.10005,1513468799999.0,2674491.7852775,6151.0,3601.16255,1062827.0364338,258984.67048494
2017-12-17,293.01,328.8,290.0,311.4,14682.26118,1513555199999.0,4618546.9664819,10383.0,8280.0317,2602599.7875425,267164.11253773
2017-12-18,311.23,360.96,277.0,352.0,17210.06137,1513641599999.0,5445727.6694142,10773.0,8856.91672,2800302.6165879,0.0
2017-12-19,352.0,366.96,303.01,338.48,23190.32542,1513727999999.0,7853537.9783908,14897.0,11056.2242,3756438.002953,0.0
2017-12-20,336.05,357.0,260.0,302.7,31586.76711,1513814399999.0,9862312.579348,15986.0,16395.97418,5137734.5180045,0.0
2017-12-21,303.8,325.16,267.01,302.0,26212.1583,1513900799999.0,7792715.3506441,15163.0,10555.59249,3149530.0088494,0.0
2017-12-22,303.0,315.0,177.58,250.99,81233.42425,1513987199999.0,19331731.1139285,33250.0,34377.90236,8222980.30216,0.0
2017-12-23,250.99,301.52,214.91,253.44,38709.14008,1514073599999.0,10424037.0623286,19966.0,17987.80835,4867116.2542472,0.0
2017-12-24,253.44,277.0,220.03,262.9,33435.37202,1514159999999.0,8272835.2642855,21908.0,14196.32792,3518824.9285466,0.0
2017-12-25,262.9,277.5,251.4,261.2,24415.6917,1514246399999.0,6464612.0371434,15740.0,11408.82582,3022775.1383664,0.0
2017-12-26,261.17,282.82,258.0,277.98,21987.89021,1514332799999.0,5985168.512649,16186.0,11878.28315,3236916.9367112,0.0
2017-12-27,277.98,284.34,245.29,262.59,25036.78582,1514419199999.0,6741018.6729032,17691.0,11909.13991,3219342.7556619,0.0
2017-12-28,262.61,266.7,222.03,244.68,34832.27138,1514505599999.0,8365398.2271549,21854.0,13278.45748,3199091.34266,0.0
2017-12-29,244.68,261.0,233.97,238.27,34985.03167,1514591999999.0,8540220.645454,23777.0,16602.46474,4058604.4605155,0.0
2017-12-30,238.27,244.0,193.2,206.03,52930.1782,1514678399999.0,11334425.401545,33492.0,23193.01204,4971333.4027432,0.0
2017-12-31,206.11,234.37,202.98,223.69,29739.10081,1514764799999.0,6491443.6770675,21567.0,14454.88476,3158543.9141399,0.0
2018-01-01,223.69,231.19,212.74,222.61,20221.253,1514851199999.0,4495346.5939887,17150.0,9574.03964,2128648.504942,0.0
2018-01-02,222.62,256.49,222.62,247.33,63293.12934,1514937599999.0,15468084.2093889,34824.0,27882.52627,6801232.7613239,0.0
2018-01-03,247.33,253.4,233.56,238.77,71369.27484,1515023999999.0,17455596.1937566,37685.0,26294.86991,6416466.1746736,0.0
2018-01-04,238.89,240.0,219.38,233.0,78182.30493,1515110399999.0,17951834.0389651,43209.0,32637.42362,7494880.2035579,0.0
2018-01-05,233.04,250.99,230.0,240.54,65010.14465,1515196799999.0,15696625.2379845,30382.0,31773.32633,7684033.4015097,0.0
2018-01-06,240.95,315.0,238.73,275.28,100812.2137,1515283199999.0,28259590.9525604,41513.0,48146.90612,13540103.1040515,0.0
2018-01-07,276.24,287.0,262.0,269.01,43811.61108,1515369599999.0,12078548.8351749,23777.0,19199.92489,5290835.8019983,0.0
2018-01-08,269.01,271.82,212.74,252.65,76256.97086,1515455999999.0,19095109.7595696,33866.0,29853.94175,7463440.0338841,0.0
2018-01-09,252.49,257.64,228.24,244.48,53921.90417,1515542399999.0,13345180.4614226,25770.0,24047.68111,5959695.6928042,0.0
2018-01-10,244.56,248.99,225.05,247.63,70931.30085,1515628799999.0,16870783.6057008,29781.0,31173.20611,7410068.0089155,0.0
2018-01-11,247.63,252.27,195.03,223.77,83842.47294,1515715199999.0,19073326.491015,37597.0,33923.40421,7709182.7760752,0.0
2018-01-12,223.76,240.45,213.01,233.11,45676.80703,1515801599999.0,10548375.5870647,22683.0,19364.75803,4473975.7082269,0.0
2018-01-13,233.11,263.99,232.54,257.98,42811.12858,1515887999999.0,10476151.1928371,20564.0,20536.64911,5021873.2088951,0.0
2018-01-14,257.98,271.64,222.0,234.12,62203.40257,1515974399999.0,15137840.8726771,26501.0,25641.01885,6275629.3846946,0.0
